;Cod_setor;lat;long;TIPO;income
64;350540105000001;-48.503091331739526;-24.759786669459935;URBANO;0.6149825177401416
65;350540105000002;-48.4973978880854;-24.7528438478008;URBANO;0.5567761348885919
66;350540105000003;-48.45057813975794;-24.762960355793282;RURAL;0.4904167073868491
67;350540105000004;-48.41224761342247;-24.8382895218584;RURAL;0.4421445048164606
68;350540105000005;-48.35151974847849;-24.933687872056005;RURAL;0.4945722558725528
69;350540105000006;-48.33610001768784;-24.987835476414173;RURAL;0.4090636611339421
70;350540105000007;-48.50858097082439;-25.03149697346487;RURAL;0.4387085422212445
71;350540105000008;-48.5504181516779;-24.995744511671937;RURAL;0.5481588587793963
72;350540105000009;-48.43670434819116;-24.912787030775654;RURAL;0.34172491451279824
73;350540105000010;-48.52243107189056;-24.913660796908044;RURAL;0.4454556801150554
74;350540105000011;-48.52627717040905;-24.84595449357603;RURAL;0.5278987778012956
75;350540105000012;-48.503408826477695;-24.79299538884534;RURAL;0.5106271085910874
76;350540105000013;-48.50014234009739;-24.711980828581705;RURAL;0.5794421585487486
77;350540105000015;-48.278484195266614;-24.909031493568794;RURAL;0.35951728669820104
78;350925405000001;-48.10763044056151;-24.72714875626637;URBANO;0.5864255651442924
79;350925405000002;-48.10431315780199;-24.729250163022545;URBANO;0.6731059819593593
80;350925405000003;-48.11127026007983;-24.734685320580517;URBANO;0.5760368598937099
81;350925405000004;-48.12179184334862;-24.729759945313535;URBANO;0.5834880168244337
82;350925405000005;-48.124745250878966;-24.728359279625035;URBANO;0.5969642394714637
83;350925405000006;-48.124350440165884;-24.72626797037799;URBANO;0.5764768209890365
84;350925405000007;-48.12595777167618;-24.721851328517015;URBANO;0.6459519604469154
85;350925405000008;-48.11470325756156;-24.718157481495414;URBANO;0.6653108732581389
86;350925405000009;-48.10953719208876;-24.725323992747402;URBANO;0.6580687253936033
87;350925405000010;-48.10735256551879;-24.725247475274823;URBANO;0.6526212417057244
88;350925405000011;-48.10161208741699;-24.724274099631245;URBANO;0.5660070381775933
89;350925405000012;-48.098582137068945;-24.735297305007514;URBANO;0.3868187153903224
90;350925405000013;-48.10446287547427;-24.734592596076393;URBANO;0.4626865525532685
91;350925405000014;-48.10886085204276;-24.73537446959804;URBANO;0.5382872218849514
92;350925405000015;-48.10684883849394;-24.740313005583943;URBANO;0.6450046861870246
93;350925405000016;-48.109420818143896;-24.741652224229608;URBANO;0.3490453805249753
94;350925405000017;-48.11356051567392;-24.73796895666451;URBANO;0.4939363321292975
95;350925405000018;-48.11853969140354;-24.736730658049748;URBANO;0.38191891395809
96;350925405000019;-48.10712146133409;-24.718058958911307;URBANO;0.6391925638372216
97;350925405000020;-48.16923530475858;-24.71096709299377;URBANO;0.4996308483665588
98;350925405000021;-48.17282481952785;-24.709976460519812;URBANO;0.4877430114812996
99;350925405000022;-48.15915398581207;-24.648746182309576;URBANO;0.4667634422865754
100;350925405000023;-48.163344369684516;-24.714785710655836;URBANO;0.4945887797395437
101;350925405000024;-48.109813114155784;-24.685036312079383;RURAL;0.5015542105674693
102;350925405000025;-48.092648701436;-24.74477801344665;RURAL;0.5128619551869397
103;350925405000026;-48.171506364060406;-24.801955020829254;RURAL;0.4643873426447235
104;350925405000027;-48.172905148256056;-24.787782955874018;RURAL;0.5598009711036442
105;350925405000028;-48.209611323940074;-24.80252653985198;RURAL;0.4573857047935409
106;350925405000029;-48.181397464176825;-24.849662540917716;RURAL;0.4347119559879213
107;350925405000030;-48.254304980699516;-24.85125822985411;RURAL;0.4969934248975758
108;350925405000031;-48.25967573060716;-24.789392948575934;RURAL;0.4622754632076276
109;350925405000033;-48.238778650719524;-24.743340021106196;RURAL;0.4769242927477516
110;350925405000034;-48.21265866639173;-24.71190504056515;RURAL;0.4828325904229183
111;350925405000035;-48.16862906974405;-24.692922871466745;RURAL;0.5418647267937566
112;350925405000036;-48.1501377275459;-24.744685413665362;RURAL;0.5136721039059121
113;350925405000037;-48.19650717699726;-24.769387627510337;RURAL;0.5408634397165174
114;350925405000038;-48.19743367610215;-24.784153779333245;RURAL;0.5312936817261372
115;350925405000039;-48.1512101804032;-24.674562078582994;RURAL;0.4247508234712778
116;350990805000001;-47.929496652461516;-25.01617523683226;URBANO;0.7403560633036202
117;350990805000002;-47.9337984140563;-25.009833429661317;URBANO;0.5573219707148844
118;350990805000003;-47.92927258268014;-25.01169059910556;URBANO;0.7072749711461114
119;350990805000004;-47.93042582293598;-25.005229395462827;URBANO;0.6287649929167247
120;350990805000005;-47.89646295193906;-24.95551084142402;URBANO;0.7667216790151469
121;350990805000006;-47.93469702336285;-25.003817985595358;URBANO;0.6238740435393553
122;350990805000008;-47.96996043172547;-24.980855881075357;URBANO;0.5894420531355506
123;350990805000009;-47.93406491726258;-25.016358987115552;URBANO;0.5519852478783944
124;350990805000010;-47.933959187894104;-25.022562619007072;URBANO;0.5364210387890667
125;350990805000011;-47.945693338541396;-25.004717670622597;URBANO;0.4806390149533957
126;350990805000012;-47.938653636923945;-25.01275537481327;URBANO;0.5084817325706805
127;350990805000014;-47.849258306327016;-24.854224060599964;RURAL;0.5379010911400288
128;350990805000015;-47.95705632724489;-25.116199925655618;RURAL;0.3094347263974594
129;350990805000016;-48.06103247464054;-25.081506867266427;RURAL;0.42119762947948797
130;350990805000017;-48.156600624686874;-25.03017210262161;RURAL;0.4456901313514475
131;350990805000018;-48.01406009243247;-24.921066430412342;RURAL;0.436904369471776
132;350990805000019;-47.941782692150205;-24.85316353924608;RURAL;0.4421614120843909
133;350990805000021;-47.971726815435645;-25.04343809890534;URBANO;0.5669273337419337
134;350990805000022;-47.96243686703425;-25.022551101065297;URBANO;0.4522718254990286
135;350990805000025;-48.01932749383275;-24.92651257914989;RURAL;0.2976757844468857
136;350990810000001;-48.03955123348395;-25.215314388930086;URBANO;0.4347997071586293
137;350990810000003;-47.99863957536896;-25.197430048282673;RURAL;0.4718315064646234
138;351480905000001;-48.105188792056225;-24.52280834092283;URBANO;0.6136855369012967
139;351480905000002;-48.10584838079155;-24.527870643943793;URBANO;0.6141274101527517
140;351480905000003;-48.110442785244516;-24.526817645384174;URBANO;0.621636745211407
141;351480905000004;-48.114933897645955;-24.526784549223823;URBANO;0.5384513288335454
142;351480905000005;-48.11390355617778;-24.520779384699534;URBANO;0.6541894744473171
143;351480905000006;-48.10797776745162;-24.515948881628027;URBANO;0.4841244657655611
144;351480905000007;-48.14002964347457;-24.569843662318192;RURAL;0.5058701653979184
145;351480905000008;-48.109034538175884;-24.50056129948765;RURAL;0.4994715434017747
146;351480905000009;-48.09395299208679;-24.557633494097573;RURAL;0.5310157158589909
147;351480905000010;-48.16089237024959;-24.462837679343217;RURAL;0.5018827339901252
148;351480905000011;-48.12132038244413;-24.39462600419211;RURAL;0.5125227398684845
149;351480905000012;-48.07898710573799;-24.406010086845935;RURAL;0.4918918915118844
150;351480905000013;-48.040380201354665;-24.445205323426887;RURAL;0.4918070822526683
151;351480905000014;-48.04527826945526;-24.507320074330767;RURAL;0.5743479715892216
152;351480905000015;-48.19919955748935;-24.500353729468813;RURAL;0.4525127952173018
153;351480905000016;-48.137900240176855;-24.333748630316034;RURAL;0.5449114218938615
154;351480905000017;-48.168260244192325;-24.28106036488287;RURAL;0.34756294933268184
155;351480910000001;-48.29343472547427;-24.638943701152435;URBANO;0.521595719740872
156;351480910000002;-48.268951114496154;-24.64232192164454;RURAL;0.4685494354396159
157;351480910000003;-48.30740192635404;-24.693626612482696;RURAL;0.4648506497945896
158;351480910000006;-48.364701844313025;-24.69841727996719;RURAL;0.3296820457541021
159;351480915000001;-48.218623680850605;-24.595523703087178;URBANO;0.5899717407834622
160;351480915000002;-48.22648274339495;-24.629768374555237;RURAL;0.5041800623841338
161;351480915000003;-48.27414518872836;-24.586093395077615;RURAL;0.4154822249522934
