,Cod_setor,long,lat,TIPO,income,longevity,literacy,Wealth_index_2010,Wealth_index_2015,Wealth_index_2020
787,411125805000024,-49.5450714264366,-25.0144558786317,RURAL,0.4838857974553171,0.8166666666666667,0.9017453135100194,-0.613159561157227,-0.567784988880158,-0.560249304771423
828,412220605000032,-49.3924542028148,-25.0137823807451,RURAL,0.4863164802466886,0.8833333333333333,0.908471020194073,-0.602008581161499,-0.522108417749405,-0.525267249345779
126,350990805000012,-47.938653636924,-25.0127553748133,URBANO,0.5084817325706805,0.75,0.9431703562138344,0.560947757959366,0.47880342900753,0.496331530809402
118,350990805000003,-47.9292725826801,-25.0116905991056,URBANO,0.7072749711461114,0.9166666666666666,0.9637801066372494,0.552456033229828,0.472658389806747,0.484003430604935
117,350990805000002,-47.9337984140563,-25.0098334296613,URBANO,0.5573219707148844,0.8333333333333334,0.9746577995867768,0.556913131475449,0.483022654056549,0.476616418361664
119,350990805000004,-47.930425822936,-25.0052293954628,URBANO,0.6287649929167247,0.8666666666666667,0.9533451175745888,0.524620604515076,0.448681679368019,0.44347020983696
125,350990805000011,-47.9456933385414,-25.0047176706226,URBANO,0.4806390149533957,0.8333333333333334,0.9304079241665778,0.359578305482864,0.278270448744297,0.285712146013975
121,350990805000006,-47.9346970233629,-25.0038179855954,URBANO,0.6238740435393553,0.85,0.9660853141020924,0.477820521593094,0.415335914492607,0.409458103775978
717,410310705000018,-48.6972098013622,-25.0008065892101,RURAL,0.4742670515672318,0.8166666666666667,0.9583333333333334,-0.614980214834213,-0.606230163574219,-0.628461569547653
861,412788205000007,-48.9573842859568,-24.998986902081,RURAL,0.4934750891088542,0.9166666666666666,0.8815883190883191,-0.430623722076416,-0.386339294910431,-0.3972432076931
745,410520105000023,-49.2962795371836,-24.9966467431212,RURAL,0.4679576347277482,0.7,0.8670549764970366,-0.493377941846848,-0.443654274940491,-0.452391493320465
71,350540105000008,-48.5504181516779,-24.9957445116719,RURAL,0.5481588587793963,0.75,0.8731616274729376,-0.560029649734497,-0.560341489315033,-0.564349454641342
862,412788205000008,-48.8721903682104,-24.9906716770724,RURAL,0.3806883098811531,0.8,0.9022337580619788,-0.572540640830994,-0.510700196027756,-0.523849499225616
858,412788205000004,-49.0573675722768,-24.9904115831531,RURAL,0.5632350684459093,0.7333333333333333,0.8462487631686164,-0.392370361089706,-0.248102471232414,-0.25449883043766
851,412220610000001,-49.4821386463019,-24.9895373826936,URBANO,0.5640219784608819,0.6833333333333333,0.9691358024691358,-0.571879076957703,-0.540045499801636,-0.523439890146255
825,412220605000029,-49.4472369292204,-24.9895332210996,RURAL,0.4566826043790285,0.85,0.9008433390508862,-0.601422667503357,-0.57617192864418,-0.547732627391815
69,350540105000006,-48.3361000176878,-24.9878354764142,RURAL,0.4090636611339421,0.7,0.9583333333333334,-0.486863428354263,-0.49788213968277,-0.494912618398666
231,352042605000012,-47.8554260893583,-24.9845025281879,URBANO,0.561827111040208,0.8833333333333333,0.9376006441223832,-0.300996387004852,-0.243119983375072,-0.300239783525467
788,411125805000025,-49.5709984051339,-24.9813289926069,RURAL,0.4446250128291788,0.6666666666666666,0.8820512820512821,-0.588336324691772,-0.564917266368866,-0.558137452602386
122,350990805000008,-47.9699604317255,-24.9808558810754,URBANO,0.5894420531355506,0.8166666666666667,0.9668119327028978,-0.265992067754269,-0.247875392436981,-0.245418536663055
866,412788205000012,-49.0991252280545,-24.9795735617756,RURAL,0.5038919631652047,0.8,0.9012070868849196,-0.094512723013759,0.119551460072398,0.191462159901857
860,412788205000006,-48.9286302089919,-24.9791267574585,RURAL,0.5132126622263451,0.7833333333333333,0.5419501133786847,-0.373247414827347,-0.304759353399277,-0.348079538345337
865,412788205000011,-49.0907595179278,-24.9773582768503,URBANO,0.5564930529415582,0.6833333333333333,0.8537249167275976,-0.02460902184248,0.241558182984591,0.35229364708066
852,412220610000002,-49.5307511826555,-24.9736001858969,RURAL,0.4752275262222737,0.9833333333333332,0.8679629629629629,-0.585183078050613,-0.542331278324127,-0.557175505161285
