Country;Year;lat;lon;nb houshold;wealth_index
angola;2015;-17.77816390991211;19.18732261657715;26;-0.9101664
angola;2015;-15.014206886291504;19.030061721801758;26;-1.2799233
angola;2015;-12.528703689575195;15.809659004211426;23;-0.10018103
angola;2015;-15.800168991088867;11.858776092529297;26;1.157022
angola;2015;-9.330304145812988;14.243508338928223;26;-0.89736354
angola;2015;-7.617862224578857;15.02248764038086;21;1.214196
angola;2015;-9.562790870666504;16.32465171813965;26;-0.19208717
angola;2015;-13.81975269317627;21.485633850097656;26;-1.1124182
angola;2015;-13.059614181518555;15.782794952392578;26;-0.6025195
angola;2015;-6.362545967102051;16.414453506469727;21;-1.25081
angola;2015;-15.186027526855469;12.160148620605469;26;1.9082205
angola;2015;-9.268569946289062;15.229293823242188;23;0.62846315
angola;2015;-12.472245216369629;16.470441818237305;26;-0.95384896
